"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 01, 2014","2,613.87","2,652.33","2,652.33","2,568.44","-","-2.01%"
"Nov 28, 2014","2,667.44","2,764.29","2,764.29","2,651.50","-","-3.69%"
"Nov 26, 2014","2,769.75","2,731.43","2,773.20","2,724.19","-","1.21%"
"Nov 25, 2014","2,736.51","2,727.87","2,745.03","2,694.94","-","0.60%"
"Nov 24, 2014","2,720.27","2,717.76","2,754.42","2,709.25","-","0.27%"
"Nov 21, 2014","2,713.05","2,658.73","2,713.32","2,658.73","-","2.56%"
"Nov 20, 2014","2,645.33","2,640.97","2,669.96","2,630.18","-","-0.23%"
"Nov 19, 2014","2,651.34","2,618.72","2,669.96","2,618.72","-","1.18%"
"Nov 18, 2014","2,620.38","2,627.61","2,656.92","2,618.57","-","-0.24%"
"Nov 17, 2014","2,626.65","2,589.42","2,629.62","2,589.42","-","1.11%"
"Nov 14, 2014","2,597.90","2,590.63","2,627.98","2,586.19","-","-0.24%"
"Nov 13, 2014","2,604.05","2,587.48","2,617.32","2,582.89","-","0.58%"
"Nov 12, 2014","2,589.09","2,597.98","2,613.06","2,578.40","-","-0.40%"
"Nov 11, 2014","2,599.48","2,593.15","2,616.51","2,574.21","-","-0.11%"
"Nov 10, 2014","2,602.30","2,627.44","2,640.54","2,593.13","-","-0.32%"
"Nov 07, 2014","2,610.64","2,615.24","2,656.96","2,600.05","-","-0.90%"
"Nov 06, 2014","2,634.40","2,632.57","2,649.04","2,556.45","-","0.29%"
"Nov 05, 2014","2,626.84","2,627.21","2,631.09","2,577.25","-","0.08%"
"Nov 04, 2014","2,624.70","2,707.89","2,731.56","2,613.01","-","-3.37%"
"Nov 03, 2014","2,716.15","2,692.22","2,767.31","2,679.22","-","0.61%"
"Oct 31, 2014","2,699.74","2,596.53","2,700.55","2,586.15","-","4.68%"
"Oct 30, 2014","2,579.13","2,459.24","2,579.13","2,459.24","-","4.90%"
"Oct 29, 2014","2,458.66","2,519.79","2,525.14","2,455.37","-","-1.73%"
"Oct 28, 2014","2,501.93","2,460.41","2,511.18","2,460.41","-","1.72%"
"Oct 27, 2014","2,459.61","2,466.29","2,466.29","2,386.24","-","-0.58%"
"Oct 24, 2014","2,474.06","2,441.71","2,477.92","2,425.70","-","1.37%"
"Oct 23, 2014","2,440.60","2,422.10","2,479.72","2,422.10","-","1.30%"
"Oct 22, 2014","2,409.31","2,439.69","2,479.50","2,405.14","-","-1.23%"
"Oct 21, 2014","2,439.27","2,369.95","2,439.27","2,369.73","-","2.66%"
"Oct 20, 2014","2,376.06","2,304.74","2,416.91","2,304.74","-","2.18%"
"Oct 17, 2014","2,325.44","2,250.22","2,371.94","2,250.22","-","4.10%"
"Oct 16, 2014","2,233.80","2,184.36","2,252.68","2,136.90","-","0.80%"
