"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 02, 2015","5,420.16","5,434.67","5,450.39","5,412.68","-","-0.20%"
"Dec 01, 2015","5,431.18","5,318.43","5,431.18","5,318.43","-","4.23%"
"Nov 30, 2015","5,210.82","5,360.49","5,381.72","5,210.82","-","-3.92%"
"Nov 27, 2015","5,423.44","5,494.18","5,504.26","5,403.77","-","-1.21%"
"Nov 26, 2015","5,490.08","5,467.31","5,515.42","5,447.63","-","0.76%"
"Nov 25, 2015","5,448.69","5,410.36","5,452.09","5,410.36","-","1.10%"
"Nov 24, 2015","5,389.33","5,359.11","5,409.76","5,359.11","-","0.41%"
"Nov 23, 2015","5,367.51","5,433.72","5,461.15","5,367.51","-","-0.87%"
"Nov 20, 2015","5,414.60","5,319.03","5,414.77","5,319.03","-","1.23%"
"Nov 19, 2015","5,348.88","5,351.82","5,373.02","5,339.48","-","0.57%"
"Nov 18, 2015","5,318.42","5,300.59","5,345.96","5,294.65","-","0.34%"
"Nov 17, 2015","5,300.23","5,258.23","5,331.42","5,258.23","-","1.92%"
"Nov 16, 2015","5,200.29","5,186.51","5,224.70","5,132.45","-","-0.90%"
"Nov 13, 2015","5,247.29","5,182.86","5,271.54","5,181.70","-","0.53%"
"Nov 12, 2015","5,219.61","5,222.30","5,279.74","5,211.29","-","0.19%"
"Nov 11, 2015","5,209.74","5,185.94","5,228.98","5,164.06","-","0.38%"
"Nov 10, 2015","5,190.12","5,208.15","5,308.29","5,190.12","-","-1.62%"
"Nov 09, 2015","5,275.65","5,372.82","5,372.82","5,258.32","-","-2.06%"
"Nov 06, 2015","5,386.69","5,433.10","5,453.71","5,386.69","-","-0.50%"
"Nov 05, 2015","5,413.58","5,444.37","5,471.05","5,393.22","-","-0.99%"
"Nov 04, 2015","5,467.73","5,394.92","5,468.59","5,394.92","-","2.26%"
"Nov 03, 2015","5,347.14","5,282.21","5,366.41","5,280.27","-","2.25%"
"Nov 02, 2015","5,229.34","5,171.16","5,238.64","5,146.03","-","0.64%"
"Oct 30, 2015","5,195.93","5,228.31","5,262.60","5,195.93","-","-0.92%"
"Oct 29, 2015","5,244.41","5,445.65","5,448.67","5,241.02","-","-4.01%"
"Oct 28, 2015","5,463.47","5,518.83","5,523.96","5,441.09","-","-1.95%"
"Oct 27, 2015","5,572.06","5,564.97","5,572.06","5,471.03","-","-0.26%"
"Oct 26, 2015","5,586.62","5,577.56","5,593.00","5,562.68","-","1.24%"
"Oct 23, 2015","5,518.33","5,528.15","5,534.65","5,460.12","-","2.01%"
"Oct 22, 2015","5,409.43","5,456.76","5,456.76","5,400.29","-","-0.55%"
"Oct 21, 2015","5,439.17","5,429.40","5,501.03","5,420.68","-","0.62%"
"Oct 20, 2015","5,405.78","5,384.49","5,446.13","5,377.89","-","0.25%"
"Oct 19, 2015","5,392.41","5,318.00","5,392.41","5,317.92","-","1.81%"
"Oct 16, 2015","5,296.80","5,313.97","5,332.67","5,267.89","-","0.43%"
"Oct 15, 2015","5,273.92","5,275.06","5,337.29","5,273.92","-","1.16%"
"Oct 13, 2015","5,213.66","5,455.72","5,455.72","5,213.66","-","-4.52%"
"Oct 12, 2015","5,460.55","5,422.36","5,476.76","5,422.36","-","0.90%"
"Oct 09, 2015","5,411.94","5,347.43","5,454.59","5,347.43","-","2.80%"
"Oct 08, 2015","5,264.54","5,287.27","5,339.60","5,257.15","-","0.09%"
"Oct 07, 2015","5,259.80","5,203.23","5,259.80","5,137.28","-","1.57%"
"Oct 06, 2015","5,178.64","5,043.62","5,199.13","5,043.62","-","4.04%"
"Oct 05, 2015","4,977.59","4,814.28","4,991.00","4,814.28","-","4.76%"
"Oct 02, 2015","4,751.62","4,800.21","4,832.19","4,751.62","-","-1.49%"
"Oct 01, 2015","4,823.59","4,817.36","4,864.47","4,805.80","-","0.43%"
"Sep 30, 2015","4,802.74","4,757.95","4,816.25","4,722.55","-","1.40%"
"Sep 29, 2015","4,736.59","4,545.55","4,736.59","4,496.87","-","2.12%"
"Sep 28, 2015","4,638.29","4,753.05","4,753.05","4,638.29","-","-2.98%"
"Sep 25, 2015","4,780.53","4,862.72","4,862.72","4,757.52","-","-1.38%"
"Sep 23, 2015","4,847.26","4,944.26","4,944.26","4,840.76","-","-3.27%"
"Sep 22, 2015","5,010.95","5,067.32","5,076.05","4,998.99","-","-0.98%"
"Sep 21, 2015","5,060.39","5,030.70","5,067.92","5,017.92","-","-0.41%"
"Sep 18, 2015","5,081.26","5,092.40","5,124.69","5,042.75","-","-0.13%"
"Sep 17, 2015","5,087.84","5,030.70","5,089.74","5,019.07","-","1.57%"
"Sep 16, 2015","5,009.15","5,053.14","5,064.79","4,998.27","-","-0.49%"
"Sep 15, 2015","5,033.63","5,070.01","5,070.01","5,022.17","-","-1.35%"
"Sep 14, 2015","5,102.76","5,096.32","5,104.97","5,068.84","-","0.76%"
"Sep 11, 2015","5,064.29","5,075.32","5,090.91","5,062.30","-","0.51%"
"Sep 10, 2015","5,038.84","4,960.83","5,038.84","4,934.96","-","0.30%"
"Sep 09, 2015","5,023.77","5,041.05","5,068.05","5,000.12","-","0.62%"
"Sep 08, 2015","4,992.69","4,935.89","5,008.43","4,913.79","-","0.33%"
"Sep 07, 2015","4,976.28","5,135.04","5,135.04","4,968.82","-","-3.80%"
"Sep 04, 2015","5,172.67","5,165.07","5,188.22","5,149.99","-","-0.28%"
"Sep 03, 2015","5,187.05","5,187.07","5,200.26","5,137.87","-","0.87%"
"Sep 02, 2015","5,142.09","5,081.37","5,166.69","5,059.80","-","-0.30%"
"Sep 01, 2015","5,157.75","5,264.99","5,264.99","5,157.75","-","-2.88%"
"Aug 31, 2015","5,310.79","5,215.88","5,310.79","5,206.59","-","1.67%"
"Aug 28, 2015","5,223.31","5,280.86","5,304.85","5,193.47","-","0.55%"
"Aug 27, 2015","5,194.82","4,993.71","5,197.90","4,993.71","-","6.28%"
"Aug 26, 2015","4,887.90","4,808.89","4,900.30","4,771.41","-","0.49%"
"Aug 25, 2015","4,864.04","4,786.93","4,982.16","4,786.93","-","2.35%"
"Aug 24, 2015","4,752.50","4,833.41","4,833.41","4,695.63","-","-4.92%"
"Aug 21, 2015","4,998.55","5,075.03","5,075.03","4,998.55","-","-2.92%"
"Aug 20, 2015","5,148.80","5,180.77","5,188.43","5,127.04","-","-1.15%"
"Aug 19, 2015","5,208.64","5,227.78","5,269.49","5,189.62","-","-0.67%"
"Aug 18, 2015","5,243.75","5,329.10","5,329.10","5,243.75","-","-2.07%"
