"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 14, 2014","5,318.88","5,387.30","5,387.30","5,318.90","427.59M","-1.27%"
"Apr 11, 2014","5,387.30","5,438.60","5,438.60","5,382.60","466.54M","-0.94%"
"Apr 10, 2014","5,438.57","5,422.30","5,461.20","5,422.30","540.75M","0.30%"
"Apr 09, 2014","5,422.28","5,368.20","5,435.80","5,368.20","558.38M","1.01%"
"Apr 08, 2014","5,368.21","5,370.50","5,376.80","5,350.00","367.05M","-0.04%"
"Apr 07, 2014","5,370.48","5,378.70","5,378.70","5,348.20","316.48M","-0.15%"
"Apr 04, 2014","5,378.74","5,365.70","5,378.70","5,353.70","401.06M","0.24%"
"Apr 03, 2014","5,365.74","5,359.60","5,375.10","5,359.60","457.15M","0.11%"
"Apr 02, 2014","5,359.62","5,346.90","5,366.20","5,346.20","531.56M","0.24%"
"Apr 01, 2014","5,346.89","5,352.50","5,358.50","5,308.00","515.70M","-0.10%"
"Mar 31, 2014","5,352.51","5,324.80","5,373.60","5,324.80","473.75M","-0.16%"
"Mar 30, 2014","5,361.10","5,324.80","5,367.30","5,324.80","90.88M","0.68%"
"Mar 28, 2014","5,324.83","5,307.50","5,330.40","5,300.70","588.63M","0.33%"
"Mar 27, 2014","5,307.48","5,333.80","5,333.80","5,279.50","541.99M","-0.49%"
"Mar 26, 2014","5,333.76","5,293.60","5,351.10","5,293.60","587.73M","0.76%"
"Mar 25, 2014","5,293.55","5,302.90","5,302.90","5,267.90","541.92M","-0.18%"
"Mar 24, 2014","5,302.94","5,293.90","5,302.90","5,257.80","460.45M","0.36%"
"Mar 23, 2014","5,283.70","5,293.90","5,293.90","5,257.80","123.92M","-0.19%"
"Mar 21, 2014","5,293.95","5,249.30","5,293.90","5,249.30","919.15M","0.85%"
"Mar 20, 2014","5,249.30","5,311.80","5,311.80","5,243.80","811.68M","-1.18%"
"Mar 19, 2014","5,311.82","5,301.40","5,313.00","5,290.70","701.80M","0.20%"
"Mar 18, 2014","5,301.34","5,275.00","5,319.40","5,275.00","481.64M","0.50%"
"Mar 17, 2014","5,275.00","5,286.40","5,288.50","5,268.80","449.49M","0.05%"
"Mar 16, 2014","5,272.50","5,286.40","5,286.40","5,268.90","82.11M","-0.26%"
"Mar 14, 2014","5,286.36","5,368.70","5,368.70","5,286.40","473.92M","-1.53%"
"Mar 13, 2014","5,368.72","5,339.40","5,381.70","5,339.40","516.77M","0.55%"
"Mar 12, 2014","5,339.35","5,368.70","5,368.70","5,300.90","559.63M","-0.55%"
"Mar 11, 2014","5,368.68","5,366.20","5,388.30","5,359.10","653.24M","0.05%"
"Mar 10, 2014","5,366.19","5,416.90","5,416.90","5,364.10","509.80M","-0.31%"
"Mar 09, 2014","5,383.10","5,416.90","5,416.90","5,382.00","88.62M","-0.62%"
"Mar 07, 2014","5,416.93","5,400.80","5,416.90","5,399.20","497.94M","0.30%"
"Mar 06, 2014","5,400.78","5,401.30","5,401.30","5,377.70","505.37M","-0.01%"
"Mar 05, 2014","5,401.31","5,361.90","5,408.20","5,361.90","677.86M","0.85%"
"Mar 04, 2014","5,355.99","5,339.80","5,364.20","5,325.70","552.77M","0.30%"
"Mar 03, 2014","5,339.77","5,360.50","5,360.50","5,295.80","582.29M","0.61%"
"Mar 02, 2014","5,307.20","5,360.50","5,360.50","5,306.20","133.51M","-0.99%"
"Feb 28, 2014","5,360.49","5,367.50","5,397.10","5,357.20","837.41M","-0.13%"
"Feb 27, 2014","5,367.45","5,393.30","5,393.30","5,362.10","569.01M","-0.48%"
"Feb 26, 2014","5,393.34","5,390.00","5,409.30","5,378.50","612.68M","0.06%"
"Feb 25, 2014","5,389.97","5,396.30","5,417.80","5,383.30","577.40M","-0.12%"
"Feb 24, 2014","5,396.31","5,395.80","5,412.00","5,381.20","636.46M","-0.15%"
"Feb 23, 2014","5,404.30","5,395.80","5,410.40","5,390.10","153.50M","0.16%"
"Feb 21, 2014","5,395.75","5,369.30","5,409.40","5,369.30","665.58M","0.49%"
"Feb 20, 2014","5,369.31","5,365.20","5,398.70","5,356.90","851.50M","0.08%"
"Feb 19, 2014","5,365.20","5,353.80","5,378.10","5,351.10","659.76M","0.26%"
"Feb 18, 2014","5,351.10","5,341.20","5,354.90","5,338.00","534.17M","0.19%"
"Feb 17, 2014","5,341.17","5,313.90","5,341.20","5,313.10","499.65M","0.13%"
"Feb 16, 2014","5,334.30","5,313.90","5,339.90","5,313.10","107.63M","0.38%"
"Feb 14, 2014","5,313.93","5,265.50","5,313.90","5,265.50","499.97M","0.92%"
"Feb 13, 2014","5,265.53","5,268.30","5,290.60","5,260.90","581.23M","-0.06%"
"Feb 12, 2014","5,268.58","5,212.80","5,268.60","5,212.80","628.75M","1.07%"
"Feb 11, 2014","5,212.80","5,180.00","5,220.10","5,162.50","414.40M","0.63%"
"Feb 10, 2014","5,180.03","5,124.90","5,180.00","5,124.90","441.35M","0.23%"
"Feb 09, 2014","5,168.10","5,124.90","5,171.90","5,124.90","92.34M","0.84%"
"Feb 07, 2014","5,124.93","5,090.00","5,126.70","5,090.00","581.50M","0.69%"
"Feb 06, 2014","5,089.98","5,028.80","5,090.00","5,028.80","482.30M","1.22%"
"Feb 05, 2014","5,028.79","5,056.60","5,070.40","5,010.70","542.81M","-0.55%"
"Feb 04, 2014","5,056.56","5,145.00","5,145.00","5,051.20","658.44M","-1.72%"
"Feb 03, 2014","5,144.95","5,146.70","5,155.30","5,120.30","378.24M","0.13%"
"Feb 02, 2014","5,138.40","5,146.70","5,146.70","5,120.30","77.39M","-0.16%"
"Jan 31, 2014","5,146.73","5,145.90","5,153.10","5,126.40","547.75M","0.02%"
"Jan 30, 2014","5,145.94","5,186.20","5,186.20","5,119.40","540.05M","-0.78%"
"Jan 29, 2014","5,186.23","5,132.50","5,186.20","5,132.50","474.72M","1.05%"
"Jan 28, 2014","5,132.54","5,197.50","5,197.50","5,115.80","588.20M","-0.13%"
"Jan 27, 2014","5,139.40","5,197.50","5,197.50","5,115.80","119.32M","-1.12%"
"Jan 24, 2014","5,197.52","5,218.90","5,235.70","5,197.50","478.47M","-0.41%"
"Jan 23, 2014","5,218.90","5,276.60","5,276.80","5,209.00","497.59M","-1.09%"
"Jan 22, 2014","5,276.58","5,288.10","5,288.10","5,242.00","439.93M","-0.22%"
"Jan 21, 2014","5,288.09","5,252.30","5,288.10","5,233.10","379.30M","0.68%"
"Jan 20, 2014","5,252.27","5,261.90","5,262.40","5,217.10","461.21M","0.02%"
"Jan 19, 2014","5,251.30","5,261.90","5,262.40","5,243.20","108.31M","-0.20%"
"Jan 17, 2014","5,261.87","5,263.90","5,274.20","5,239.90","500.65M","-0.04%"
"Jan 16, 2014","5,263.89","5,201.20","5,263.90","5,201.20","537.76M","1.20%"
"Jan 15, 2014","5,201.25","5,168.80","5,212.50","5,168.80","448.80M","0.63%"
"Jan 14, 2014","5,168.76","5,247.20","5,247.20","5,164.10","490.18M","-1.49%"
"Jan 13, 2014","5,247.17","5,267.10","5,272.60","5,243.20","349.98M","-0.20%"
