"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 21, 2017","46,006","46,452","46,475","45,862","17.31K","-0.50%"
"Apr 20, 2017","46,235","46,276","46,345","45,980","21.01K","-0.15%"
"Apr 19, 2017","46,303","46,574","46,700","46,268","18.58K","-0.20%"
"Apr 18, 2017","46,396","47,135","47,153","46,352","31.25K","-1.79%"
"Apr 13, 2017","47,241","47,053","47,369","47,053","23.43K","-0.04%"
"Apr 12, 2017","47,262","47,455","47,790","47,126","30.59K","-0.15%"
"Apr 11, 2017","47,334","46,935","47,470","46,900","28.69K","0.52%"
"Apr 10, 2017","47,091","46,875","47,188","46,870","21.57K","0.84%"
"Apr 07, 2017","46,697","46,551","46,820","46,275","30.38K","-0.19%"
"Apr 06, 2017","46,788","46,475","46,820","46,401","26.90K","0.21%"
"Apr 05, 2017","46,690","46,584","46,817","46,408","27.86K","0.78%"
"Apr 04, 2017","46,328","46,299","46,762","46,215","31.34K","0.32%"
"Apr 03, 2017","46,178","45,880","46,272","45,755","35.44K","0.90%"
"Mar 31, 2017","45,768","45,880","46,090","45,670","28.88K","-0.13%"
"Mar 30, 2017","45,826","46,125","46,125","45,650","19.76K","-0.37%"
"Mar 29, 2017","45,997","45,907","46,115","45,667","25.69K","0.62%"
"Mar 28, 2017","45,715","45,452","45,820","45,415","20.08K","1.23%"
"Mar 27, 2017","45,158","44,720","45,230","44,617","24.47K","-0.08%"
"Mar 24, 2017","45,196","45,424","45,480","45,106","13.82K","-0.42%"
"Mar 23, 2017","45,386","45,320","45,530","45,146","20.70K","0.11%"
"Mar 22, 2017","45,338","45,497","45,540","45,066","35.10K","-1.42%"
"Mar 20, 2017","45,992","45,920","46,120","45,701","18.66K","0.47%"
"Mar 17, 2017","45,775","45,899","45,931","45,655","27.55K","0.58%"
"Mar 16, 2017","45,512","45,101","45,520","45,082","25.11K","1.80%"
"Mar 15, 2017","44,707","44,730","44,825","44,540","66.18K","0.24%"
"Mar 14, 2017","44,602","44,758","44,970","44,480","210.36K","-0.46%"
"Mar 13, 2017","44,808","44,340","44,839","44,302","172.42K","1.27%"
"Mar 10, 2017","44,248","44,071","44,357","44,023","31.24K","0.74%"
"Mar 09, 2017","43,925","44,106","44,106","43,735","31.96K","-0.94%"
"Mar 08, 2017","44,344","44,295","44,438","44,150","23.44K","0.20%"
"Mar 07, 2017","44,256","44,370","44,477","44,174","19.47K","-0.14%"
"Mar 06, 2017","44,316","44,688","44,688","44,172","24.55K","-0.48%"
"Mar 03, 2017","44,530","44,450","44,696","44,190","29.57K","-0.49%"
"Mar 02, 2017","44,750","44,770","44,886","44,575","22.31K","0.36%"
"Mar 01, 2017","44,590","44,199","44,629","43,930","35.49K","1.07%"
"Feb 28, 2017","44,118","44,400","44,465","44,070","27.99K","-0.76%"
